DATE_OF_SCORE	PROPERTY_TYPE	CONTENTDATA_PROPERTY_TYPE_ID	APS_RAW_SCORE	PROPERTY_NAME
2024-04-06	BROADCAST	301-19297	47.550914342	Jerry Recco & Sal Licata
2024-04-06	BROADCAST	301-19195	47.334361194	WCBS 880 Nights and Weekends
2024-04-06	BROADCAST	301-13278	47.306440317	The DA Show
2024-04-06	BROADCAST	301-1677	46.932482995	1010 WINS Overnights
2024-04-06	BROADCAST	301-12914	46.386700449	Mark Levin
2024-04-06	BROADCAST	301-20391	46.295016744	Jody McDonald
2024-04-06	BROADCAST	301-19203	46.281157875	Joe & Evan
2024-04-06	BROADCAST	301-20910	46.094712117	The Billy Kidd Show
2024-04-06	BROADCAST	301-21343	45.648604121	98.7 Simon at Work
2024-04-06	BROADCAST	301-15735	45.613538666	Coop
2024-04-06	BROADCAST	301-14104	45.044662483	Dana Loesch
2024-04-06	BROADCAST	301-1922	44.843260624	The Rashad Richey Morning Show
2024-04-06	BROADCAST	301-19559	44.526058192	The Morning News with Vineeta Sawkar
2024-04-06	BROADCAST	301-19657	44.49499959	Shelley Wade
2024-04-06	BROADCAST	301-19587	44.47451405	The Dave Glover Show
2024-04-06	BROADCAST	301-12516	44.011972199	Charles Black
2024-04-06	BROADCAST	301-12700	43.363000315	Slacker & Steve
2024-04-06	BROADCAST	301-18822	42.868533503	Pat Caputo
2024-04-06	BROADCAST	301-22650	42.43446426	Frank E. Lee
2024-04-06	BROADCAST	301-13521	41.587984188	The Annie Frey Show
2024-04-06	BROADCAST	301-15028	41.346713241	Coop & Sarah
2024-04-06	BROADCAST	301-19927	40.771633579	A New Morning with Susan Rose and Brian Mazurowski
2024-04-06	BROADCAST	301-20653	40.651579187	Adam and Jordana
2024-04-06	BROADCAST	301-18277	40.376767138	Gwynn & Chris
2024-04-06	BROADCAST	301-20971	40.288808995	JT
2024-04-06	BROADCAST	301-17614	40.14229516	1010 WINS Nights
2024-04-06	BROADCAST	301-16695	39.915447959	Danielle McCartan
2024-04-06	BROADCAST	301-21380	39.449241285	Detroit Lions Football
2024-04-06	BROADCAST	301-647	39.150600338	Karson & Kennedy
2024-04-06	BROADCAST	301-19295	38.296582039	Pete Hoffman
2024-04-06	BROADCAST	301-19275	38.127478776	Marc Malusis
2024-04-06	BROADCAST	301-17612	38.000679475	Newsline with Brigitte Quinn
2024-04-06	BROADCAST	301-17001	37.829856657	Afrika
2024-04-06	BROADCAST	301-19625	37.793429943	KNX Midday News with Chris Sedens
2024-04-06	BROADCAST	301-17550	37.508810103	Sabrina from Queens
2024-04-06	BROADCAST	301-648	37.368194753	Erin O'Malley
2024-04-06	BROADCAST	301-14732	37.310438671	Midday with Jayme & Grayson
2024-04-06	BROADCAST	301-21112	37.243908184	Karen Carson
2024-04-06	BROADCAST	301-14983	37.159975484	Tim Lethlean
2024-04-06	BROADCAST	301-12918	37.021366312	WWL First News with Tommy Tucker
2024-04-06	BROADCAST	301-1580	36.694572344	The Howard Eskin Show
2024-04-06	BROADCAST	301-18539	36.609508421	Dawn Stensland Show
2024-04-06	BROADCAST	301-19606	36.602021003	KGMZ Radio Nights & Weekends
2024-04-06	BROADCAST	301-2074	36.395203323	The Morning Mess
2024-04-06	BROADCAST	301-20384	36.293496295	St. Louis Cardinals Baseball
2024-04-06	BROADCAST	301-2611	36.231871528	Emma Mac
2024-04-06	BROADCAST	301-20692	36.149482715	Trey Morgan
2024-04-06	BROADCAST	301-20387	36.007903668	New York Mets Baseball
2024-04-06	BROADCAST	301-19539	35.947648986	Philadelphia's Morning News with Ian Bush & Carol MacKenzie
2024-04-06	BROADCAST	301-14152	35.9187472	The Dana Show
2024-04-06	BROADCAST	301-16907	35.584745976	Anthony
2024-04-06	BROADCAST	301-22003	35.482435392	WCBS LATE EDITION
2024-04-06	BROADCAST	301-1672	35.080283385	The Morning Shift on 92.9 The Game
2024-04-06	BROADCAST	301-20263	34.91320086	Paul Zeise
2024-04-06	BROADCAST	301-13646	34.522275122	Mo & StyckMan
2024-04-06	BROADCAST	301-20385	34.34448582	Minnesota Twins Baseball
2024-04-06	BROADCAST	301-17362	34.120516202	Ian Camfield
2024-04-06	BROADCAST	301-20654	34.115822586	DriveTime with DeRusha
2024-04-06	BROADCAST	301-12231	33.963538735	Nivens
2024-04-06	BROADCAST	301-12733	33.936309214	Shilynne Cole
2024-04-06	BROADCAST	301-21264	33.402798774	The Steakhouse
2024-04-06	BROADCAST	301-18794	33.20489368	Costa & Jansen with Heather
2024-04-06	BROADCAST	301-20584	33.076112805	Sports Talk with Bobby Hebert, Mike Detillier and Steve Geller
2024-04-06	BROADCAST	301-19759	33.019439919	The Joe Starkey Show
2024-04-06	BROADCAST	301-21299	33.008599248	Glen Macnow and Jody McDonald
2024-04-06	BROADCAST	301-1384	32.994506623	The Chad Hartman Show
2024-04-06	BROADCAST	301-12919	32.938771863	The Scoot Show
2024-04-06	BROADCAST	301-14754	32.908624293	Maria Dennis
2024-04-06	BROADCAST	301-21754	32.903202337	Brooklyn Nets Basketball
2024-04-06	BROADCAST	301-16331	32.775616852	Chris Russell
2024-04-06	BROADCAST	301-21414	32.522586752	Greg Street
